"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Alyn Smith","@AlynSmith","Scottish National Party","Stirling",45777,-5
"Alun Cairns ","@AlunCairns","Conservative","Vale of Glamorgan",13889,3
"Alok Sharma ","@AlokSharma_RDG","Conservative","Reading West",55402,84
"Alistair Carmichael","@amcarmichaelMP","Liberal Democrat","Orkney and Shetland",22493,23
"Alison Thewliss ","@alisonthewliss","Scottish National Party","Glasgow Central",29986,0
"Alison McGovern ","@Alison_McGovern","Labour","Wirral South",54625,31
"Alicia Kearns","@aliciakearns","Conservative","Rutland and Melton",14694,6
"Alexander Stafford","@Alex_Stafford","Conservative","Rother Valley",5807,5
"Alex Sobel","@alexsobel","Labour","Leeds North West",23902,5
"Alex Norris","@AlexNorrisNN","Labour","Nottingham North",7553,0
"Alex Davies-Jones","@AlexDaviesJones","Labour","Pontypridd",8288,9
"Alex Cunningham ","@ACunninghamMP","Labour","Stockton North",21543,-2
"Alex Chalk ","@AlexChalkChelt","Conservative","Cheltenham",13247,26
"Alex Burghart","@alexburghart","Conservative","Brentwood and Ongar",4338,1
"Alec Shelbrooke ","@AlecShelbrooke","Conservative","Elmet and Rothwell",15878,-7
"Alberto Costa ","@AlbertoCostaMP","Conservative","South Leicestershire",10490,-1
"Alan Mak ","@AlanMakMP","Conservative","Havant",10020,-2
"Alan Campbell ","@alancampbellmp","Labour","Tynemouth",6535,0
"Alan Brown ","@AlanBrownSNP","Scottish National Party","Kilmarnock and Loudoun",12325,2
"Afzal Khan","@Afzal4Gorton","Labour","Manchester, Gorton",29213,12
"Adam Afriyie ","@AdamAfriyie","Conservative","Windsor",16359,-2
"Abena Oppong-Asare","@abenaopp","Labour","Erith and Thamesmead",16210,6
"Aaron Bell","@AaronBell4NUL","Conservative","Newcastle-under-Lyme",4990,0
